name,last_match_date,elo_hard,elo_clay,elo_grass,ranking,recent_wins
Juan Alejandro Hernandez Serrano,20220801,42357.6,43400,43400,521,4
Daniil Medvedev,20230116,95464.4,98680.6,98588.5,8,8
Novak Djokovic,20230116,102677,99274.6,100893,5,10
Dennis Novak,20221024,86040.2,87200,86869.3,155,3
Yosuke Watanuki,20230116,72643.1,74168.1,73700,138,6
Jack Draper,20230116,80977,85101.7,84808.3,38,9
Pierre Hugues Herbert,20220425,88612.7,88487.2,89100,157,4
Gijs Brouwer,20220829,63569.5,63861.8,63900,181,6
Aljaz Bedene,20220829,84954.3,84330.2,85513.7,347,0
Kamil Majchrzak,20221003,89387.8,90450,91112.7,121,2
Norbert Gombos,20220829,87388.7,86761.5,88600,114,1
Jesper De Jong,20221017,82302.9,82900,82298.1,225,3
Gilles Simon,20221031,84835.5,86076.6,86501.4,188,4
Gregoire Barrere,20230206,77637.6,78149.3,79100,75,4
Alexander Zverev,20230116,95927.4,98783.3,99700,13,8
Alexander Bublik,20230206,87109.4,93603.6,94985.8,50,2
Damir Dzumhur,20220404,85401.3,85392.4,86000,145,3
Denis Kudla,20230206,83505.9,88004.9,88036.7,92,0
Corentin Moutet,20230116,87405.5,88395.9,89300,62,7
Ernesto Escobedo,20230116,82205.7,83400,83400,313,3
Richard Gasquet,20230206,87227.8,89583.1,92199.6,45,8
Radu Albot,20230206,87102.3,90300,88181.8,123,1
Holger Rune,20230206,87361.1,87977.9,88886.9,9,10
Stefano Travaglia,20220404,87746,87432.1,88100,112,4
Stan Wawrinka,20230116,73485.1,74436.9,75409.7,139,0
Pedro Cachin,20230206,80927.9,82871.7,84700,66,0
Karen Khachanov,20230116,90008.9,93961.8,96299.7,20,9
Tomas Machac,20230116,85860.8,88500,88500,110,2
Mili Poljicak,20220725,46300,45777.3,46300,537,4
Benjamin Bonzi,20230206,87121.3,91322.6,91272.8,42,6
Dominik Koepfer,20220801,93010,94900,92860,145,1
Gael Monfils,20220808,96494.3,96795.3,97200,20,8
Alejandro Tabilo,20230206,87104.3,86806.6,87727,146,4
Yu Hsiou Hsu,20230116,78481.7,79100,79100,209,4
Rio Noguchi,20221003,70406.5,70900,70900,291,5
Roman Safiullin,20230116,82365.5,83406.1,83700,97,7
Cedrik Marcel Stebe,20220207,76502.9,76900,76900,231,5
Jozef Kovalik,20220718,81100.9,81183.6,81700,186,4
Carlos Taberner,20221010,88585.1,85762.8,88569,130,0
Luca Van Assche,20230206,74124.3,75900,75900,145,2
Emilio Nava,20220919,66596.7,68800,68800,173,2
Juncheng Shang,20230116,32694.4,33102.2,33700,0,3
Matteo Arnaldi,20221107,70655.8,71889.1,72500,134,1
Pablo Cuevas,20220523,88997.1,87521.4,89600,149,3
Dimitar Kuzmanov,20230102,84109.2,84200,84200,196,6
Juan Ignacio Londero,20220523,85600,83886.7,85600,142,3
Alessandro Giannessi,20220523,82700,81916,82700,173,4
Kaichi Uchida,20221003,80823.2,82500,82500,155,3
Renzo Olivo,20220221,82100,81474,82100,179,4
Cristian Garin,20230206,94119.9,91883.4,96752.5,103,1
Jaume Munar,20230116,83512.7,88066.1,90036,64,0
Camilo Ugo Carabelli,20220523,84500,84102.9,84500,155,5
Roberto Bautista Agut,20230206,91026.2,96974,98114.7,24,8
Giulio Zeppieri,20221010,76535.6,76341.5,77300,170,4
Nick Chappell,20220801,49394.5,50000,50000,500,4
Sebastian Baez,20230206,85169.5,89386,91573.5,47,4
Dominic Thiem,20230116,92425.7,90732,94600,98,7
Emilio Gomez,20230206,83050.9,85100,85100,102,3
Albert Ramos,20230206,88394.3,89427.6,95446.7,54,2
Marc Andrea Huesler,20230206,85252.8,87617.2,87255,49,5
Francesco Passaro,20221107,61129.9,62599.6,63200,119,2
Nikoloz Basilashvili,20230206,88255.3,93380.6,96218.7,87,1
Nicolas Alvarez Varona,20221010,71110.5,70895.1,71500,231,4
Reilly Opelka,20220801,97057.2,95001.5,95677.8,17,5
Luciano Darderi,20230206,80000,79669,80000,200,5
Federico Delbonis,20230206,94146.5,88737.7,94834.6,131,1
Andreas Seppi,20220606,89327.1,90000,89406.3,141,4
Christopher Eubanks,20230206,79653.6,83300,82958.8,104,2
Stefan Kozlov,20220919,82296,84900,83646.4,108,1
Jeremy Chardy,,100000,100000,100000,0,5
Alex Molcan,20230116,86131.3,91359.3,91299.4,53,4
Thiago Monteiro,20230206,84066.5,87061.1,88326.8,78,0
Zhizhen Zhang,20230116,83948.6,86300,86300,96,3
Nuno Borges,20230116,84849.2,85639.5,86278.5,111,1
Pablo Andujar,20230102,90565.9,89329.7,91927.3,121,0
Sam Querrey,20220829,85911,87571.2,86144.2,287,0
Miomir Kecmanovic,20230206,86727,90702.3,91156.4,33,8
Alexey Vatutin,20221010,71433.5,72100,72100,279,4
Daniel Elahi Galan,20230206,86942.8,85405.9,88635.8,83,4
Federico Coria,20230206,88974.4,88471.5,93032,67,2
Jordan Thompson,20230206,86627,89446.3,89938,84,1
Pavel Kotov,20230116,81229.5,81837.8,82800,117,2
Fabio Fognini,20230116,89687.9,91532.7,95569.8,57,1
Marco Cecchinato,20230206,90569.4,88346.1,91000,93,4
Diego Schwartzman,20230206,91389.8,93893.3,96456.2,28,1
Malek Jaziri,20220404,68514.1,69085.9,69700,329,2
Casper Ruud,20230116,92705.5,97046,97847.2,3,8
Soon Woo Kwon,20230116,89233.7,92095.7,93446.4,52,6
Mikhail Kukushkin,20221003,81119,82641.2,82583.8,221,0
Seong Chan Hong,20220926,52289.2,52900,52900,471,4
Caleb Chakravarthi,,100000,100000,100000,0,5
Sebastian Korda,20230116,92091.1,93011.7,94535.1,31,10
Thomas Fabbiano,20220214,80200.9,80800,80800,192,4
Daniel Altmaier,20230206,86167,87935.2,89673,99,1
Yasutaka Uchiyama,20221003,67997.6,68600,68600,314,4
Andrey Kuznetsov,20220523,77200,76574.9,77200,228,4
Marton Fucsovics,20230206,90355,94998.8,95925.2,69,4
Jannik Sinner,20230206,96006.7,98964,98230.5,17,10
Jiri Vesely,20220829,87124.8,86483.3,87081.3,68,5
Dusan Lajovic,20230206,92345.3,90890.3,94823.2,89,1
Cameron Norrie,20230116,93624.9,96522.1,97583,12,9
Daniel Evans,20230116,88375.1,93007.2,95215.6,30,4
Ricardas Berankis,20220926,89175.5,88264.3,89643.5,120,3
J J Wolf,20230206,74105.1,78603.1,79100,43,10
Tommy Paul,20230116,90348,92052.2,94476.5,35,9
Elias Ymer,20230102,84825.8,85111.3,85586.6,127,2
Enzo Couacaud,20230116,78547.8,79400,78812,191,3
Liam Broady,20220926,86115.6,87900,86483.4,174,3
Tennys Sandgren,20220307,81865.6,83700,83700,153,2
Joao Sousa,20230206,84843.8,87525.4,89373,162,2
Ivan Gakhov,20220725,68500,67969.5,68500,315,4
Felix Auger Aliassime,20230116,94541.5,95820.3,96887.1,7,9
Max Purcell,20230116,82695.9,83007.3,82729.9,205,2
Frances Tiafoe,20230206,91983.1,93822,95388.4,14,9
Marco Trungelliti,20221010,75227.9,75900,75900,241,4
Laslo Djere,20230116,88716,89951.3,92507.4,68,2
Lorenzo Musetti,20230116,86268,92938.5,92466.5,19,9
Arthur Rinderknech,20230206,87359.3,92136,92853.8,68,3
Daniel Dutra Da Silva,20220725,78500,77866.5,78500,215,4
Denis Istomin,20220214,72893.5,73300,73300,267,5
Rafael Nadal,20230116,95443.5,99490.3,99335.1,2,5
Jack Sock,20230206,81687.9,84738.1,84765.9,141,2
Grigor Dimitrov,20230116,90312.8,95745,96947.9,28,9
Mitchell Krueger,20220919,81549.5,82820.6,82977.4,228,2
David Goffin,20230109,85362.4,94385.6,94816.1,53,2
Taylor Fritz,20230206,94050.9,96577.6,96307.6,8,10
Feliciano Lopez,20221010,87391.9,88345.2,87328,415,0
Brandon Nakashima,20230116,85817.1,89902.2,90934.8,49,8
Steve Johnson,20230206,85553.7,89830.4,89994.9,120,3
Maxime Cressy,20230206,84697.8,91023.1,94074.7,51,8
Roberto Carballes Baena,20230206,88741.3,88216.3,91554.5,77,1
Benoit Paire,20220829,90470.2,90334.9,93505.1,173,0
Mackenzie Mcdonald,20230206,87170.2,92997.5,92912.4,59,4
John Millman,20230116,87363.8,88720.3,90144,140,1
Beibit Zhukayev,20221003,66707.1,67300,67300,327,4
Tallon Griekspoor,20230116,88544.8,90747.9,92093.8,63,6
Oscar Otte,20230206,82533.7,89439.3,91376.6,80,1
Pedro Martinez,20230206,87194.4,88248.6,91835.3,72,0
Lucas Pouille,20220523,84514.4,83019.9,84600,162,4
Max Hans Rehberg,20220718,-6700,-7902.61,-6700,830,3
Duje Ajdukovic,20220725,72400,71803.7,72400,276,4
Alex De Minaur,20230116,91075.1,93486.4,94900.9,24,9
Filip Krajinovic,20230206,91506.7,93843.7,95941,71,5
Michail Pervolarakis,20230102,60913.4,62300,62300,506,3
Yoshihito Nishioka,20230116,86161.5,87941.6,88598.8,33,9
Peter Gojowczyk,20220829,86393.8,89674.9,89144,108,0
Christopher Oconnell,20230116,81163.8,84105.3,84612.4,80,0
Francisco Cerundolo,20230206,83445.1,89009.8,88221.5,31,4
Vasek Pospisil,20230116,83078.1,85000,85000,99,4
Elliot Benchetrit,20220404,56400,55786,56400,436,4
Guido Pella,,100000,100000,100000,0,5
Nicolas Kicker,20220221,79700,79181,79700,203,4
Adrian Mannarino,20230206,85138.2,92549.7,92441.9,63,4
Marin Cilic,20230102,91341.5,95941,97250.7,17,8
Constant Lestienne,20230206,88958.5,92400,92400,48,7
Thiago Seyboth Wild,20220221,86500,85912.6,86500,135,5
Jiri Lehecka,20230116,82159.1,82844.2,85075.4,71,5
Jenson Brooksby,20230116,88427.2,92128,92226.9,39,9
Yuta Shimizu,20221003,54289.8,54900,54900,451,4
Mikael Ymer,20230206,86807.8,90298.5,92164.4,73,4
Stefanos Tsitsipas,20230116,93649.2,99184.9,97484.3,4,9
Henri Laaksonen,20220919,87123.3,89298.5,90741.6,125,0
William Blumberg,20220711,22700,22700,22113,773,4
James Duckworth,20221003,90058.6,91669.8,90677.3,109,1
Zizou Bergs,20230116,80371.7,83100,82495,130,0
Altug Celikbilek,20221010,76702.4,77000,77000,230,5
Marcos Giron,20230206,84423.1,89159.6,91221,55,4
Jurij Rodionov,20221024,83794.1,84206.5,84110.3,130,3
Fernando Verdasco,20230206,78665.5,82146,82182.7,118,0
Alex Rybakov,20230206,61623.6,62200,62200,378,4
Lorenzo Sonego,20230206,90877.7,92691.6,95995.5,56,2
Hugo Gaston,20230206,88454.9,90214.5,92169.9,101,0
Manuel Guinard,20221017,83745.1,83236.8,84800,148,3
Felipe Meligeni Alves,20230102,77116.5,76919,77600,166,4
Jason Kubler,20230116,82213.9,83664.9,84006.3,84,9
